date,close,high,low,open,volume,RSI,daily_return,SMA_10,SMA_50,volatilidad_10d,target_direction,VIX,fecha,volumen_noticias,sentimiento_promedio,puntuacion_positiva,puntuacion_negativa,polaridad_promedio,volatilidad_sentimiento,uso_primera_persona,day_of_week,month,quarter,year,day_of_month,week_of_year,month_sin,month_cos,day_sin,day_cos,sentiment_volume_interaction,vix_rsi_interaction
2023-11-22,189.1687469482422,190.77061015607987,188.6941236066613,189.3467401313375,39617700,82.30136036367666,0.0035145861111236,186.05596923828125,175.6044772338867,0.009497467875564,0,12.850000381469728,2023-11-22,206.0,1.156,3.33,2.175,5.505,3.288,21.655,2,11,4,2023,22,47,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,45798061.199999996,10.575725120687228
2023-11-24,187.8437347412109,188.76331834061185,187.13179223741545,188.7336553269539,24048300,80.72937442003979,-0.0070043927890149,186.82724151611328,175.89046447753907,0.0099615826767572,0,12.460000038146973,2023-11-24,118.0,1.426,3.607,2.181,5.789,3.295,21.689,4,11,4,2023,24,47,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,34292875.8,10.05888008353277
2023-11-27,187.66574096679688,188.5358962659671,186.7857030257735,187.79429075090235,40552600,77.46376032152664,-0.0009475630084722,187.16244659423828,176.1873095703125,0.0074657027060739,1,12.6899995803833,2023-11-27,200.0,0.097,2.362,2.265,4.626,3.635,20.851,0,11,4,2023,27,48,-0.5000000000000004,0.8660254037844384,0.0,1.0,3933602.2,9.830150859750857
2023-11-28,188.26890563964844,188.9413024556769,187.2800983304318,187.6558499360948,38415400,74.94393684263804,0.0032140372011655,187.7161758422852,176.43775787353516,0.0065081885038389,0,12.6899995803833,2023-11-28,195.0,0.434,3.243,2.809,6.052,3.991,22.236,1,11,4,2023,28,48,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,16672283.6,9.510385270853494
2023-11-29,187.2504425048828,189.93999969621768,186.85492560121705,188.7633165390084,43014200,69.0499623386268,-0.0054096194552434,187.90701293945312,176.64611114501952,0.0056383147111444,1,12.979999542236328,2023-11-29,327.0,2.183,4.776,2.594,7.37,3.388,23.097,2,11,4,2023,29,48,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,93899998.6,8.962684795468116
2023-11-30,187.8239288330078,188.1897977650501,186.0836335536744,187.71515943504943,48794400,71.92777655512909,0.0030626700821283,188.09884185791012,176.93664031982422,0.0056391858039824,1,12.920000076293944,2023-11-30,235.0,1.135,3.606,2.471,6.078,3.736,21.324,3,11,4,2023,30,48,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,55381644.0,9.293068785799216
2023-12-01,189.0995178222656,189.4159283197641,187.11200544734405,188.19969953750024,45704800,66.35129499103289,0.0067914083002271,188.25012817382813,177.2834915161133,0.0053202466039887,0,12.630000114440918,2023-12-01,263.0,1.713,3.897,2.184,6.081,4.039,20.826,4,12,4,2023,1,48,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,78292322.4,8.380168633300485
2023-12-04,187.30978393554688,187.92285480104985,185.35194945178893,187.8536310388141,43389500,65.42296664195848,-0.0094645079338642,188.2244201660156,177.57756286621094,0.0062434984262891,1,13.079999923706056,2023-12-04,169.0,0.886,3.32,2.434,5.754,3.124,22.174,0,12,4,2023,4,49,-2.4492935982947064e-16,1.0,0.0,1.0,38443097.0,8.557323986854408
2023-12-05,191.25509643554688,192.2241233156588,188.05135551468544,188.081033613139,66628400,68.27612552703805,0.0210630348138012,188.4192123413086,177.92506286621094,0.0088023110405055,0,12.850000381469728,2023-12-05,231.0,0.563,2.901,2.338,5.24,3.014,21.705,1,12,4,2023,5,49,-2.4492935982947064e-16,1.0,0.7818314824680298,0.6234898018587336,37511789.199999996,8.77348239067714
2023-12-06,190.1674194335937,192.5800964734148,189.9597632703297,192.27356863697847,41089700,62.759040965977455,-0.0056870484615804,188.58533172607423,178.3321795654297,0.0089109129167697,1,12.970000267028809,2023-12-06,188.0,0.413,3.0,2.588,5.588,3.265,21.919,2,12,4,2023,6,49,-2.4492935982947064e-16,1.0,0.9749279121818236,-0.22252093395631434,16970046.099999998,8.139847780871996
